"Informazioni cronologiche","Museo","Luogo","Latitudine","Longitudine","Sito_Web","Email","Twitter","Link_immagine ","Accetti di preseguire liberando l'autore da responsabilità legate alla privacy?"
"20/07/2014 16.35.17","MAT Museo dell'Alto Tavoliere","Piazza san Francesco N.48 San Severo","41.687507","15.378955","https://www.facebook.com/museoaltotavoliere","museoaltotavoliere@email.it","MATSanSevero","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/t1.0-1/c0.0.160.160/p160x160/10414537_672196232852678_6191183293210896473_n.jpg","SI"
"20/07/2014 21.09.24","Museo Nivola","Via Gonare N. 2 Orani","40.24914","9.18045","http://www.museonivola.it","museo.nivola@tiscali.it","Museo_Nivola",,"SI"
"21/07/2014 8.44.49","Museo Nazionale Preistorico Etnografico Luigi Pigorini","Piazza Guglielmo Marconi n. 14 Roma","41.83258","12.47157","http://www.pigorini.beniculturali.it","s-mnpe.comunicazione@beniculturali.it","MuseoPigorini","http://www.pigorini.beniculturali.it/images/esterno%20museo%20pigorini.jpg","SI"
"21/07/2014 8.57.08","Museo del Grano","C/da Convento Jelsi (CB)","41.51381","14.7851","http://www.comune.jelsi.cb.it/turismo/museo-del-grano-la-vetrina-racconta.html","inesmignogna@hotmail.it",,"https://scontent-a-mxp.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/230848_108582732633752_1613866304_n.jpg?oh=210cf05d3a782e635e11d8d19b559e6e&oe=54551A0A","SI"
"21/07/2014 14.45.34","MUSEO ARCHEOLOGICO STATALE DI ARCEVIA","CORSO MAZZINI N.64 ARCEVIA","43.49776","12.93674","http://www.archeomarche.beniculturali.it/index.php?it/115/museo-archeologico-statale-di-arcevia","silvia.ercoli@beniculturali.it","museoarcevia","https://www.facebook.com/photo.php?fbid=806459939377664&set=a.727581337265525.1073741827.726741427349516&type=1&theater.jpg","SI"
"21/07/2014 14.53.04","MACA (Museo Arte Contemporanea Acri)","Piazza G. Falcone N.1 Acri (Cs)","39.48773","16.38334","http://www.museomaca.it","info@museomaca.it","museomaca","http://www.museomaca.it/images/logos/piccolo.jpg","SI"
"21/07/2014 17.07.05","Museo Nazionale del Cinema","Mole Antonelliana - Via Montebello 20 Torino","45.06901","7.69297","http://www.museocinema.it","comunicazione@museocinema.it","museocinema","http://www.museocinema.it/img/logo_mnc.png","SI"
"21/07/2014 18.02.24","Museo Provinciale Sigismondo Castromediano","Viale Gallipoli N. 28 Lecce","40.3469","18.17039",,"museo@provincia.le.it","MuseoCastromed","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/t1.0-1/c11.0.160.160/p160x160/10547541_595137100604612_7687985735096383116_n.png","SI"
"21/07/2014 19.16.46","Museo civico di Belriguardo","Via Provinciale N. 221 Voghiera (FE)","44.75314","11.75605","http://www.voghieraonline.it/198/museo-civico-di-belriguardo","protocollo@comune.voghiera.fe.it",,"https://scontent-b-mxp.xx.fbcdn.net/hphotos-xpa1/t1.0-9/10459109_10204062965721790_6132490324508487097_n.jpg","SI"
"21/07/2014 22.54.17","ARS MUSEI SICILIANI","SICILIA","38.03594","12.59117","http://paper.li/f-1373495391","garuccio.andrea@gmail.com","SicilianMuseums","https://pbs.twimg.com/profile_images/448045086702444544/NiPVy8Mg.jpeg","SI"
"21/07/2014 23.49.40","Galleria Arte Moderna di Palermo","Via Sant'Anna Palermo","38.11513 ","13.3657","http://www.galleriadartemodernapalermo.it/mediacenter/FE/home.aspx","servizimuseali@galleriadartemodernapalermo.it","GAM_Palermo","http://www.galleriadartemodernapalermo.it/static/gam-logoHeaderAll.png","SI"
"22/07/2014 10.01.43","Museo MA*GA","Via De Magri N.1 Gallarate","45.65573","8.79934","http://www.museomaga.it","didattica@museomaga.it","MuseoMaga","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/t1.0-9/996055_686744961349696_817629521_n.jpg","SI"
"22/07/2014 10.08.24","Castello Murat","Via Roma","38.73567","16.16016","http://www.cooperativakairos.net/","kairospizzo@gmail.com",,"https://scontent-b-mxp.xx.fbcdn.net/hphotos-xfa1/t1.0-9/10151830_1483666675195104_963189495_n.jpg","SI"
"22/07/2014 11.12.48","Museo Storico-Archeologico (MUSA)","via di Valesio angolo viale S. Nicola Lecce","40.35827"," 18.16611","http://www.musa.unisalento.it","infomusa@unisalento.it","MusaUnisalento","https://pbs.twimg.com/profile_images/445526118959828992/D7vKFkZk_400x400.jpeg","SI"
"22/07/2014 11.47.08","Museo Diocesano e Battistero paleocristiano Albenga","via Episcopio 5 Albenga","44.04957","8.213","https://www.facebook.com/Museo.Diocesano.Battistero.Albenga?ref=hl","museodiocesano.albenga@hotmail.com","Mudialbenga","https://scontent-a.xx.fbcdn.net/hphotos-xfa1/t31.0-8/c0.243.851.315/p851x315/10298543_683535308374342_848185253000019773_o.jpg","SI"
"22/07/2014 15.21.18","Museo Egizio Torino","Via Accademia delle Scienze N. 6 Torino","45.069446","7.684274","http://www.museoegizio.it/","info@museoegizio.it","MuseoEgizio","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/t1.0-1/10390072_10154168160920103_4645027159565699752_n.png","SI"
"22/07/2014 17.36.20","MAR - Museo d'Arte della città di Ravenna","via di Roma 13 Ravenna","44.41387","12.20666","http://www.mar.ra.it/ita/","info@museocitta.ra.it","https://twitter.com/MuseoRa","http://www.mar.ra.it/img/logo.jpg","SI"
"22/07/2014 17.24.57","Palazzo Asmundo ","Via Pietro Novelli 3  Palermo","38.11333","13.35621","http://www.palazzoasmundo.com","palazzoasmundo@iol.it","PalazzoAsmundo","http://www.palazzoasmundo.com/img/home-splash.png","SI"
"22/07/2014 19.16.14","MO.C.A. MONTECATINI CONTEMPORARY ART","VIALE VERDI N. 46","43.88411","10.77276","http://mocamontecatini.it","mocamct@gmail.com","mocaemcterme","http://www.comune.montecatini-terme.pt.it/upload/montecatiniterme_ecm8/gestionebanner/moca_7036_217.jpg","SI"
"22/07/2014 22.29.59","Museo Archeologico ""Antonino Salinas""","Piazza Olivella Palermo","38.120755","13.360196","https://www.facebook.com/Museo.Archeologico.Antonino.Salinas.Palermo","museoarcheosalinas@gmail.com","MuseoSalinas","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/t1.0-9/1969236_701772116511586_2022776434_n.jpg","SI"
"22/07/2014 23.17.03","Polo Museale Ascoli Satriano","Via Santa Maria del Popolo 68","41.21085","15.56155","http://polomusealeascolisatriano.blogspot.it","polomusealeas@gmail.com","PoloMusealeAS","https://lh6.googleusercontent.com/-q54QaocXzoc/UTocRL4Je0I/AAAAAAAAAHc/1pKbpuiaxLM/w640-h401-no/3_sostegno_di_mensa2.jpg","SI"
