intStrNumeroStruttura;Categoria;Classification;vchStrDenominazione;vchStrIstat;DESCRIZIONE;CAP;Indir;Gestore;City;localita;vchStrTel;vchStrTelefax;vchStrCellulare;vchStrWebAddress;vchStrEmail;Longitude_X;Latitude_Y;ISTAT6
14826;ALBERGHI;Alberghi 1 stella;ALBERGO DOMUS MARIAE;041001;ACQUALAGNA;61041;viale ezio scaglioni 17;GIUSEPPE BARTOLUCCI;ACQUALAGNA;ACQUALAGNA;0722322529;0722322529;;www.arcidiocesiurbino.it;ufficioamministrativo@arcidiocesiurbino.it;12.6916;43.6404;041001
15647;AREE DI SOSTA (PLEIN AIR);Aree di sosta di eccellenza;AREA SOSTA CAMPER PARCO LE QUERCE;041001;ACQUALAGNA;61041;via Pianacce 1;;ACQUALAGNA;RISERVA NATURALE STATALE GOLA DEL FURLO;"0721 700224; 0721 700223";;335 8233554;www.parcolequerce.it;info@parcolequerce.it;12.7033;43.6386;041001
1615;ALLOGGI AGRITURISTICI;Agriturismi;DEL FRONTINO;041001;ACQUALAGNA;61041;strada frontino 23;CRISTINA CRISTINI;ACQUALAGNA;ACQUALAGNA;0721708196;;;;;12.588;43.6169;041001
11320;ALBERGHI;Alberghi 3 stelle;LA GINESTRA;041001;ACQUALAGNA;61041;via Furlo 17;ELIANA CANCELLIERI;ACQUALAGNA;ACQUALAGNA;0721797033;0721700040;;www.ginestrafurlo.it;info@ginestrafurlo.it;12.7129;43.637;041001
11321;ALBERGHI;Alberghi 2 stelle;BIRRA AL POZZO;041001;ACQUALAGNA;61041;via pianacce 12;MARCO MANCINELLI;ACQUALAGNA;ACQUALAGNA;0721700084;0721 700084;;www.birraalpozzo.it;info@birraalpozzo.it;12.6993;43.6376;041001
12735;BED & BREAKFAST;BedBreakfast;B&B CRISTINI CRISTINA;041001;ACQUALAGNA;61041;strada frontino 23;CRISTINA CRISTINI;ACQUALAGNA;ACQUALAGNA;0721708196;;;;cri.cristini@alice.it;12.588;43.6169;041001
12854;BED & BREAKFAST;BedBreakfast;B&B MARTELLONI CESARE;041001;ACQUALAGNA;61041;via pianacce 67;CESARE MARTELLONI;ACQUALAGNA;ACQUALAGNA;0721700016;;3348144997;www.lalocandadellabbazia.it;info@lalocandadellabbazia.it;12.6982;43.6365;041001
13137;ALBERGHI;Alberghi 2 stelle;ALBERGO MEUBLE' SHINE;041001;ACQUALAGNA;61041;via aldo gamba 54;RAFFAELE MANGANI;ACQUALAGNA;ACQUALAGNA;0721797487;0721796434;3347658235;;;12.675;43.6244;041001
13303;BED & BREAKFAST;BedBreakfast;B&B CAPPONI CESIRA;041001;ACQUALAGNA;61041;viale Risorgimento 32;CESIRA CAPPONI;ACQUALAGNA;ACQUALAGNA;0721798674;;;;;12.6698;43.6169;041001
13466;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO CASTELLAGO;041001;ACQUALAGNA;61041;strada Castellaro 18;STELLINA COSTANTINI;ACQUALAGNA;ACQUALAGNA;0721799090;;3331026667;;castellago@virgilio.it;12.6386;43.6258;041001
13622;TURISMO RURALE;Country House;LA MUDA;041001;ACQUALAGNA;61041;strada fangacci 35;PIERLUIGI PAZZAGLI;ACQUALAGNA;ACQUALAGNA;0721/708294;0721\708294;;www.lamuda.net;info@lamuda.net;12.5784;43.639;041001
13722;ALBERGHI;Alberghi 3 stelle;ALBERGO ANTICO FURLO;041001;ACQUALAGNA;61041;via Flaminia 66;ALBERTO MELAGRANA;ACQUALAGNA;ACQUALAGNA;0721700096;0721700117;;;info@anticofurlo.it;12.6729;43.6185;041001
13889;TURISMO RURALE;Country House;CA' GARAVANO;041001;ACQUALAGNA;61041;strada Frontino 21;ALESSANDRO URBINI;ACQUALAGNA;ACQUALAGNA;;;339 5422186;www.cagaravano.com;urbini.alessandro@alice.it;12.5792;43.6195;041001
13887;TURISMO RURALE;Country House;COUNTRY HOUSE LA SPINA;041002;APECCHIO;61042;vocabolo spina 1;LUCIANO CASELLI;APECCHIO;APECCHIO;072299132;072299132;3398063402;www.countryhouselaspina.it;info@countryhouselaspina.it;12.4303;43.5565;041002
13794;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;CASA DELLE ROSE;041002;APECCHIO;61042;;RAIMONDO ALUIGI;APECCHIO;APECCHIO;0722986489;0722986489;3346674370;www.valguerriera.it;info@valguerriera.it;12.4846;43.5529;041002
13796;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;VECCHIA FORNACE;041002;APECCHIO;61042;vocabolo chignucci 1;RAIMONDO ALUIGI;APECCHIO;APECCHIO;0722986489;0722986489;3346674370;www.valguerriera.it;info@valguerriera.it;12.4362;43.6074;041002
13797;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;ESSICCATOIO;041002;APECCHIO;61042;vocabolo val d' acqua 1;RAIMONDO ALUIGI;APECCHIO;APECCHIO;0722986489;0722986489;3346674370;www.valguerriera.it;info@valguerriera.it;12.3952;43.5228;041002
13158;TURISMO RURALE;Country House;LUCARAIA;041002;APECCHIO;61042;localita' Lucaraia 1;LAMBERTO ROSSI;APECCHIO;APECCHIO;0721 31346;072131346;3356979978;;lpraziendaagricola@gmail.com;12.4891;43.543;041002
11325;ALBERGHI;Alberghi 3 stelle;MONTENERONE;041002;APECCHIO;61042;localita' Pian di Trebbio 81;RITA CAITERZI;APECCHIO;APECCHIO;0722 90136;0722 90311;333 3343262;www.hotelmontenerone.it;info@hotelmontenerone.it;12.4899;43.5447;041002
5416;OSTELLI PER LA GIOVENTU';Ostelli;OSTELLO DELLA GIOVENTU' LA CHIUSURA (CUCCHIARINI ALDO LORIS);041002;APECCHIO;61042;via dante alighieri 1;ALDO LORIS CUCCHIARINI;APECCHIO;APECCHIO;0721700224;0721700148;3351230615;;cooplamacina@info-net.it;12.419;43.5591;041002
12035;TURISMO RURALE;Country House;COL DI FIORE;041002;APECCHIO;61042;loc Col di Fiore snc;LAMBERTO ROSSI;APECCHIO;APECCHIO;072131346;072131346;3356979978;;lpraziendaagricola@gmail.com;;;041002
1617;ALLOGGI AGRITURISTICI;Agriturismi;CASELLINA;041002;APECCHIO;61042;loc. la Casellina 1;CATERINA MAGNONI;APECCHIO;APECCHIO;072131346;072131346;3356979978;;lpraziendaagricola@gmail.com;12.419;43.5591;041002
1618;ALLOGGI AGRITURISTICI;Agriturismi;TAVERNA;041002;APECCHIO;61042;vocabolo caselle 1;MARIA LAURA PIERANGELI;APECCHIO;APECCHIO;0758555103;;339 1741511;;"marialaura@jumpi.it;";12.4565;43.5459;041002
1619;ALLOGGI AGRITURISTICI;Agriturismi;CHIGNONI;041002;APECCHIO;61042;vocabolo Chignoni 1;ANTONIO MARTINELLI;APECCHIO;APECCHIO;340 335 3492;;3388060533;www.chignoni.it;info@chignoni.it;12.3971;43.5361;041002
1620;ALLOGGI AGRITURISTICI;Agriturismi;CA' CIRIGIOLO;041002;APECCHIO;61042;;PIETRO ROSSI;APECCHIO;Apecchio;072299738;072299738;3385449070;www.cacirigiolo.it;info@cacirigiolo.it;;;041002
1621;ALLOGGI AGRITURISTICI;Agriturismi;VAL DEL LAGO;041002;APECCHIO;61042;vocabolo Acquapartita 1;CATERINA MAGNONI;APECCHIO;loc. Val del Lago;072131346;072131346;3356979978;;lpraziendaagricola@gmail.com;12.4747;43.5294;041002
1624;ALLOGGI AGRITURISTICI;Agriturismi;CASELLE;041002;APECCHIO;61042;;MARIA LAURA PIERANGELI;APECCHIO;Apecchio;0758555103;;3391741511;;marialaura@jumpi.it;;;041002
15716;ALLOGGI AGRITURISTICI;Agriturismi;CA' ANASTASI;041002;APECCHIO;61042;loc. la Valle 16;ELISA MARTINELLI;APECCHIO;;0722/900003;0721/981168;328/0426601;;elisamartinelli.em@libero.it;;;041002
14739;TURISMO RURALE;Country House;LE CIOCCHE;041002;APECCHIO;61042;vocabolo pian della santi 1;;APECCHIO;APECCHIO;;0354498001;3386084426;;leciocche@alice.it;12.4384;43.5514;041002
14557;TURISMO RURALE;Country House;COUNTRY HOUSE CACCIABOCCA;041002;APECCHIO;61042;vocabolo Caselle 100;TANIA GRANCI;APECCHIO;APECCHIO;0721781702;0721781702;3355922849;www.countryhousechiciabocca.it;info@countryhousechiciabocca.it;12.4565;43.5459;041002
14642;BED & BREAKFAST;BedBreakfast;B&B MOCHI EDMONDO ADOLFO FEDERICO;041002;APECCHIO;61042;via dante alighieri 41;EDMONDO ADOLFO FEDERICO MOCHI;APECCHIO;APECCHIO;0722 99600;;334 7308339;;elenamochi@hotmail.it;12.419;43.5591;041002
14672;BED & BREAKFAST;BedBreakfast;B&B GRANCI MARIA GRAZIA;041002;APECCHIO;61042;via Martiri della Liberta' 20;MARIA GRAZIA GRANCI;APECCHIO;APECCHIO;072299152;;;;;12.4222;43.557;041002
14142;ALLOGGI AGRITURISTICI;Agriturismi;CA' QUATTROCCHI;041002;APECCHIO;61042;via Roma 1;LUCIANA CORAZZI;APECCHIO;APECCHIO;072299357;;;;;12.4184;43.5588;041002
14162;ALLOGGI AGRITURISTICI;Agriturismi;FONTE SOMMA;041002;APECCHIO;61042;;FREDERIC MARTINELLI;APECCHIO;loc.Fontesomma;072299608;;3382636602;www.fontesomma.it;info@fontesomma.it;;;041002
14243;TURISMO RURALE;Country House;COL ALPI;041002;APECCHIO;61042;via Circonvallazione 40;VENANZIO GRELLI;APECCHIO;APECCHIO;;;3387284995;;ilaesimo@virgilio.it;12.4191;43.5555;041002
16359;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO LA ROCCA;041002;APECCHIO;61042;;ANNARELLA PARLANI;APECCHIO;localitˆ la rocca;072299519;;;;a.parlani@alice.it;;;041002
16443;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO CA' PIERPAOLI;041002;APECCHIO;61042;;NICOLETTA DI DOMENICO;APECCHIO;localitˆ Ca' Pierpaoli;;0722 981021;"3397744630; 335 396321";www.chipierpaoli.it;info@chipierpaoli.it;;;041002
16456;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO PIANDIMOLINO;041002;APECCHIO;61042;localitˆ Pian di Molino 16;ESTER LANDI;APECCHIO;PIAN DI MOLINO;072299447;;335 7594901;www.agriturismopiandimolino.it;info@agriturismopiandimolino.it;;;041002
15820;AREE DI SOSTA (PLEIN AIR);Aree di Sosta;AREA DI SOSTA CAMPER;041002;APECCHIO;61042;;AREA DI SOSTA AREA DI SOSTA CAMPER;APECCHIO;APECCHIO;;;;;;12.419;43.5598;041002
15989;ALLOGGI IN AFFITTO;Affittacamere;AFFITTACAMERE APPENNINO;041002;APECCHIO;61042;via Garibaldi 9;FRANCESCO IANNI;APECCHIO;;0722 989033;;;;marcellamartinelli17@gmail.com;;;041002
16041;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO PIEVE DI SAN PAOLO;041002;APECCHIO;61042;san paolo di fagnille 20;PAOLO BARTOLOMEOLI;APECCHIO;san paolo di fagnille;328 3595648;;;www.pievesp.it;info@pievesp.it;;;041002
17076;BED & BREAKFAST;BedBreakfast;B&B BISCUBIO;041002;APECCHIO;61042;via Circonvallazione 2;MARCELLA MARTINELLI;APECCHIO;;;;"334 1478972; 333 4440760";;marcellamartinelli17@gmail.com;;;041002
17353;ALBERGHI;Alberghi 2 stelle;GHIGHETTA;041002;APECCHIO;61042;via Borgo Mazzini 40;ADDOLORATA DIMAGGIO;APECCHIO;;0722 989007;0722 99196;;;doradimaggio@libero.it;;;041002
16859;ALTRI ALLOGGI PRIVATI;Appartamenti Ammobiliati uso turistico (Art. 32 Ð T.U.);APPARTAMENTO PER VACANZE;041003;AUDITORE;61020;via Poggio  9;LIDIA D'ANGELI;AUDITORE;;;;338 7795178;;;;;041003
16276;BED & BREAKFAST;BedBreakfast;B&B TELE GIANNA;041003;AUDITORE;61020;via G. Leopardi 6;GIORGIO BELLUCCI;AUDITORE;CASININA;0722 362368;;339 8684793;;telegianna@libero.it;;;041003
11327;ALBERGHI;Alberghi 1 stella;IL TORRIONE;041003;AUDITORE;61020;via circonvallazione 14;GUALFARDO ZUCCHINI;AUDITORE;AUDITORE;0722 362633;;;www.albergoiltorrione.it;info@albergoiltorrione.it;12.5694;43.8215;041003
11328;ALBERGHI;Alberghi 1 stella;ANTICA OSTERIA DA ORESTE;041003;AUDITORE;61020;Via Risorgimento Frazione CASININA 4;LUCIA GUERRA;AUDITORE;CASININA;0722 629900;0722362043;;www.osteria-daoreste.it;info@osteria-daoreste.it;12.59;43.8158;041003
13765;TURISMO RURALE;Country House;COUNTRY HOUSE VILLA CISCA;041003;AUDITORE;61020;localita' molino fulvi 14;KATIA DI BASTIANO;AUDITORE;AUDITORE;0722629016;0722629016;;www.villacisca.com;info@villacisca.com;12.5875;43.8647;041003
16269;ALTRI ALLOGGI PRIVATI;Appartamenti Ammobiliati uso turistico (Art. 32 Ð T.U.);LA LUNA NELL'ORTO;041004;BARCHI;61030;via Madonna Rafaneto 18;PETRA BARTELS;BARCHI;Rafaneto;0721 978227;;;www.lalunanellorto.it;petrabartels@libero.it;;;041004
16372;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;LA GIRAVOLTA;041004;BARCHI;61030;via G. Campioli 10;JOHANNA ADRIANA MOL;BARCHI;;0721977724;;3479239573;www.lagiravolta.eu;info@lagiravolta.eu;;;041004
16003;ALLOGGI AGRITURISTICI;Agriturismi;FORESTERIA AGRITURISTICA STRADA DEI CAMPIOLI;041004;BARCHI;61030;via Giardino Campioli 31;CARLA FIORINI;BARCHI;;0721 977710;;;www.stradadeicampioli.it;info@stradadeicampioli.it;;;041004
15728;AREE DI SOSTA (PLEIN AIR);Aree di Sosta;AREA DI SOSTA CAMPER;041004;BARCHI;61030;;AREA DI SOSTA AREA DI SOSTA CAMPER;BARCHI;;;;;;;13.2253;43.7152;041004
17081;BED & BREAKFAST;BedBreakfast;B&B VIA MURA AL MARE;041004;BARCHI;61030;;MARIA ELISA ROSSI;BARCHI;;;;331 2228429;;info@universi-paralleli.it;;;041004
15273;TURISMO RURALE;Country House;COUNTRY HOUSE MONTESOFFIO;041004;BARCHI;61030;localita' montesoffio 5;ANJA MARIA PRONKER;BARCHI;BARCHI;;;+39 334 77 98 192;www.montesoffio.com;info@montesoffio.com;12.9166;43.6769;041004
17070;ALTRI ALLOGGI PRIVATI;Appartamenti Ammobiliati uso turistico (Art. 32 Ð T.U.);ROSSI ROSSANO;041005;BELFORTE ALL'ISAURO;61020;via Angelini 4;ROSSANO ROSSI;BELFORTE ALL'ISAURO;;;;3391771434;;rossanorossi@hotmail.com;;;041005
17022;ALTRI ALLOGGI PRIVATI;Appartamenti Ammobiliati uso turistico (Art. 32 Ð T.U.);CASALE FATTORIA GOSTOLI;041005;BELFORTE ALL'ISAURO;61020;via Molino 16;ILENIA BATTIATO;BELFORTE ALL'ISAURO;;3209638971;;;;ilenia.battiato@tiscali.it;;;041005
15896;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;CASTRUM BELLIFORTIS;041005;BELFORTE ALL'ISAURO;61020;;RAFFAELE DE FEO;BELFORTE ALL'ISAURO;;0722 721266;;338 1095635;;castrumbellifortis@gmail.com;;;041005
16090;TURISMO RURALE;Attivitˆ ricettive rurali;CASTELLO DEL BARONE DI BEAUFORT;041005;BELFORTE ALL'ISAURO;61020;;RAFFAELE DE FEO;BELFORTE ALL'ISAURO;;0722 721266;0722721266;388 1095635;www.castellodelbarone.com;castrumbellifortis@gmail.com;;;041005
17344;ALLOGGI AGRITURISTICI;Agriturismi;CA' IL FATTORE;041005;BELFORTE ALL'ISAURO;61020;;ELENA BARBADORO;BELFORTE ALL'ISAURO;;;;;;;;;041005
16054;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;RANCO FABBRO;041006;BORGO PACE;61040;;VALERIO CUCCHIARINI;BORGO PACE;PARCHIULE;0721 700224;0721 700148;335 1230615;;prenotazioni@lamacina.it;;;041006
15999;ALBERGHI;Alberghi 2 stelle;ALBERGO OASI SAN BENEDETTO;041006;BORGO PACE;61040;via dell'Abbazia 7;CLAUDIO VALENTINI;BORGO PACE;LAMOLI;0722 80133;0722 80226;;;coloriappennino@libero.it;;;041006
15918;AREE DI SOSTA (PLEIN AIR);Aree di Sosta;AREA DI SOSTA CAMPER;041006;BORGO PACE;61040;;AREA DI SOSTA AREA DI SOSTA CAMPER;BORGO PACE;LOC. LAMOLI;;;;;;;;041006
15740;BED & BREAKFAST;BedBreakfast;B&B VALDERICARTE;041006;BORGO PACE;61040;loc. Valderica 8;MARIA STELLA ROSSI;BORGO PACE;LAMOLI;0722 800010;;328 3380906;www.valdericarte.com;stella@valdericarte.com;;;041006
16674;BED & BREAKFAST;BedBreakfast;B&B QUIETE SUL META;041006;BORGO PACE;61040;via Papa Clemente XI 4;FILIPPO ANDREONI;BORGO PACE;;;;3346164128;www.quietesulmeta.com;info@quietesulmeta.com;;;041006
15604;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO MORETTI MARCO;041006;BORGO PACE;61040;localita' Campovecchio 1;MARCO MORETTI;BORGO PACE;BORGO PACE;;;3389518517;;;12.2483;43.6525;041006
13934;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO ALPE DELLA LUNA;041006;BORGO PACE;61040;;IVO BERNARDINI;BORGO PACE;Vildonnino;072289950;;328 8750388;http://www.alpedellaluna.it/;agr@alpedellaluna.it;;;041006
14114;BED & BREAKFAST;BedBreakfast;B&B AURO di BERNARDINI IVO;041006;BORGO PACE;61040;loc. Molino 19;IVO BERNARDINI;BORGO PACE;BORGO PACE;072289950;;3288750388;;ivobernardini@libero.it;12.2928;43.6582;041006
13784;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO SANTI GILBERTO;041006;BORGO PACE;61040;via Lame 18;GILBERTO SANTI;BORGO PACE;loc. Parchiule;0722816016;;;;;12.2378;43.652;041006
6052;RIFUGI;Rifugio Escursionistico;OASI SAN BENEDETTO;041006;BORGO PACE;61040;via dell' Abbazia 13;CLAUDIO VALENTINI;BORGO PACE;BORGO PACE;072280133;072280226;;;trabaria@libero.it;12.2554;43.6224;041006
11932;ALBERGHI;Alberghi 2 stelle;LA DILIGENZA;041006;BORGO PACE;61040;piazza del Pino 9;ARIELLA SACCHI;BORGO PACE;BORGO PACE;072289124;0722/800100;335/8327008;www.anticalocandaladiligenza.it;info@centrobebladiligenza.it;12.2942;43.6578;041006
5331;OSTELLI PER LA GIOVENTU';Ostelli;OSTELLO PER LA GIOVENTU';041006;BORGO PACE;61040;via dell' Abbazia 40;NADIA CELESCHI;BORGO PACE;BORGO PACE;072280133;072280226;;;lamoli@oasisanbenedetto.it;12.2559;43.6224;041006
1405;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO IL GINEPRO;041006;BORGO PACE;61040;localita' Figgiano 46;MARA MONACCHI;BORGO PACE;BORGO PACE;072289224;;;;info@ilgineprofigiano.com;12.2573;43.6657;041006
1406;ALLOGGI AGRITURISTICI;Agriturismi;SACCHIA;041006;BORGO PACE;61040;loc. Sacchia 1;GILBERTO MISTURA;BORGO PACE;BORGO PACE;072289358;072289358;3497564641;www.sacchiafarm.it;info@sacchiafarm.it;12.2912;43.6667;041006
364;BED & BREAKFAST;BedBreakfast;B&B GIANPAOLO LUCHINI;041007;CAGLI;61043;localita' Secchiano strada Cagli Pianello 123;GIANPAOLO LUCHINI;CAGLI;CAGLI;0721785181;;;;;12.6047;43.5433;041007
710;ALLOGGI IN AFFITTO;Affittacamere;CAPOCCIA LUIGINA;041007;CAGLI;61043;strada Monte Petrano 1;;CAGLI;CAGLI;0721790593;;;;;12.6196;43.5182;041007
1626;ALLOGGI AGRITURISTICI;Agriturismi;AZIENDA AGRITURISTICA F.LLI FULVI;041007;CAGLI;61043;strada Ca' Rio 1;GILBERTO FULVI;CAGLI;CAGLI;0721 798640;0721 798640;;;;12.686;43.6269;041007
1627;ALLOGGI AGRITURISTICI;Agriturismi;CA' BELVEDERE;041007;CAGLI;61043;strada pigno monte martello 103;MASSIMILIANO SPERTI;CAGLI;CAGLI;0721799204;0721799204;3389960871;www.cabelvedere.it;info@cabelvedere.it;12.7238;43.5817;041007
1630;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO FRESCINA;041007;CAGLI;61043;localita' Frescina Abbadia di Naro  1;LAMBERTO ROSSI;CAGLI;CAGLI;0721708001;0721796147;;www.frescina.com;info@frescina.com;12.6771;43.5394;041007
1631;ALLOGGI AGRITURISTICI;Agriturismi;CA' LE SUORE;041007;CAGLI;61043;strada Monte Peruzzo 57; MOCHI;CAGLI;CAGLI;0721797133;;3385439278;www.calesuore.it;info@calesuore.it;12.6529;43.5681;041007
1632;ALLOGGI AGRITURISTICI;Agriturismi;SAN SILVESTRO;041007;CAGLI;61043;localita' Monte Scatto 1;MARCO BELLI;CAGLI;CAGLI;0721 799274;;339 8296216;;info@agriturismo-sansilvestro.it;12.7719;43.6014;041007
1633;ALLOGGI AGRITURISTICI;Agriturismi;DA MEZZANOTTE;041007;CAGLI;61043;strada Ca' Rio 81;LORENZO NASPINI;CAGLI;CAGLI;0721798550;;;;;12.7119;43.6045;041007
1634;ALLOGGI AGRITURISTICI;Agriturismi;AGRITURISMO CHE CELLO;041007;CAGLI;61043;strada Sant' Angelo in Maiano 5;ANGELA PASCUCCI;CAGLI;CAGLI;0721 787398;;;;maddalena.scotti@virgilio.it;12.6825;43.5483;041007
12014;ALLOGGI AGRITURISTICI;Agriturismi;LA FERRAIA;041007;CAGLI;61043;strada Casale 10;GIORGIO BIANCONI;CAGLI;CAGLI;0721785010;0721785907;3493571684;www.laferraia.it;info@laferraia.it;12.5349;43.5043;041007
4486;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;CASA LAPIS di ERIBERTA FRATERNALE;041007;CAGLI;61043;via gaetano lapis 105;ERIBERTA  FRATERNALE;CAGLI;CAGLI;0721782655;0721701336;3386716298;www.casalapis.it;casalapis@libero.it;12.6496;43.5479;041007
11329;RESIDENZE TURISTICO ALBERGHIERE;3 Stelle;LA COLLINETTA;041007;CAGLI;61043;via ca' lupo 27;VANESSA MAGNONI;CAGLI;CAGLI;0721781541;0721781721;;;info@residencelacollinetta.com;12.6562;43.5438;041007
11330;ALBERGHI;Alberghi 3 stelle;HOTEL PINETA;041007;CAGLI;61043;viale della Vittoria 15;MANUEL MATTEUCCI;CAGLI;CAGLI;0721787387;0721787639;;;info@hpineta.com;12.647;43.5443;041007
11332;ALBERGHI;Alberghi 3 stelle;INTERNATIONAL CAGLI HOTEL SRL;041007;CAGLI;61043;strada Civita  5;DANIELA DEMOZZI;CAGLI;CAGLI;0721/782999;0721/782999;;;info@internationalcaglihotel.it;12.6376;43.5421;041007
11334;RESIDENZE TURISTICO ALBERGHIERE;2 Stelle;BORGO FRESCINA;041007;CAGLI;61043;ABBADIA DI NARO 118;ROSSELLA DI MUNNO;CAGLI;FRESCINA - CAGLI;0721708001;0721796147;;www.frescina.com;info@frescina.com;;;041007
13735;ALLOGGI AGRITURISTICI;Agriturismi;LA COLTICCIOLA DI CANCELLIERI AUGUSTO;041007;CAGLI;61043;strada cagli pergola 120;AUGUSTO CANCELLIERI;CAGLI;CAGLI;0721782119;;3477542575;aziendaagrituristicacancellieri.com;cancellieri75@virgilio.it;12.6863;43.5398;041007
13799;TURISMO RURALE;Country House;COUNTRY HOUSE IL CASTELLO;041007;CAGLI;61043;strada monte paganuccio 133;CRISTINA  GORI;CAGLI;CAGLI;0721 799398;0721 850316;;www.ilcastellogori.it;info@ilcastellogori.it;12.6857;43.6279;041007
13871;TURISMO RURALE;Country House;VILLA FONTALBA;041007;CAGLI;61043;via flaminia nord 123;CHIARA GASPARRI;CAGLI;CAGLI;3381504446;1782288370;3381504446;www.villafontalba.it;villafontalba@gmail.com;12.6706;43.5854;041007
13872;TURISMO RURALE;Country House;IL PICCOLO CASTELLO;041007;CAGLI;61043;localita' abbadia di naro case sparse 40;MARIA ELENA PICCOLO;CAGLI;CAGLI;0722 318787;;"331 8870943; 334 3266880";www.ilpiccolocastellocountryhouse.it;direzione@ilpiccolocastellocountryhouse.it;12.6771;43.5394;041007
13873;TURISMO RURALE;Country House;LE RIPE DI BELIGNI IVO;041007;CAGLI;61043;;IVO BELIGNI;CAGLI;fraz. Cˆ Rio;;;;;;;;041007
13868;ALLOGGI AGRITURISTICI;Agriturismi;RANCO DI SOPRA;041007;CAGLI;61043;strada caimarini 79;GIANMARCO BARTOCCIONI;CAGLI;CAGLI;0721785103;0721785103;3384008302;www.rancodisopra.it;info@rancodisopra.it;12.5448;43.4985;041007
13591;BED & BREAKFAST;BedBreakfast;B&B SAN PIETRO FUORI LE MURA;041007;CAGLI;61043;via san pietro 14;MICHELE PIERI;CAGLI;CAGLI;;;3314622077;;mhlpieri@gmail.com;12.6514;43.5404;041007
13545;ALLOGGI IN AFFITTO;Case ed Appartamenti per Vacanze;LA CONTESA di BERTOZZI MAFALDA;041007;CAGLI;61043;loc. Acquaviva 126;MAFALDA BERTOZZI;CAGLI;ACQUAVIVA;0721782421;0721782421;3333702195;www.lacontesa.it;info@lacontesa.it;12.6566;43.5428;041007
